Category,Price (INR)_mean,Price (INR)_median,Price (INR)_std,Price (INR)_min,Price (INR)_max,Rating_mean,Rating_median,Rating_std,Rating_min,Rating_max,Rating Count_mean,Rating Count_median,Rating Count_std,Rating Count_min,Rating Count_max
750 ml Ice creams,405.81,381.36,41.11,381.36,487.29,4.76,4.8,0.23,4.0,5.0,18.44,10.0,19.98,1.0,77.0
8 Inch Pizza starting @199,323.64,325.0,51.48,200.0,395.0,3.37,3.6,1.14,1.7,5.0,4.91,4.0,3.7,1.0,15.0
9 Inch Pizza,549.0,549.0,70.71,499.0,599.0,4.85,4.85,0.21,4.7,5.0,6.5,6.5,7.78,1.0,12.0
99 Store,176.51,180.0,64.12,55.0,310.0,4.03,4.2,0.49,3.0,5.0,71.63,19.0,164.06,3.0,947.0
A La Carte,241.43,195.0,131.87,104.0,416.0,3.81,4.3,1.04,2.3,5.0,5.29,3.0,2.98,3.0,10.0
ALL DAY BREAKFAST,95.33,105.5,47.32,40.0,155.0,4.0,3.85,0.37,3.6,4.6,10.67,9.0,8.02,3.0,23.0
ALL DAY LONG,180.0,210.0,57.45,120.0,250.0,4.3,4.3,0.33,3.8,4.9,97.71,27.0,141.47,18.0,404.0
ALL DAY LUNCH SPECIAL MEAL BOX (SAVE RS 115),398.55,399.0,6.34,310.0,399.0,4.24,4.3,0.47,1.9,5.0,26.84,14.0,35.42,1.0,216.0
ALL DAY SNACKS,68.5,68.5,19.09,55.0,82.0,4.55,4.55,0.21,4.4,4.7,28.0,28.0,32.53,5.0,51.0
APPTIZERS NON VEG,413.9,407.0,77.31,242.0,550.0,4.58,4.6,0.31,3.7,5.0,68.45,50.0,77.58,4.0,288.0
APPTIZERS VEG,270.42,275.0,49.07,209.0,352.0,4.32,4.45,0.56,3.2,4.9,33.75,16.5,54.05,6.0,201.0
Accompaniment,127.67,140.0,51.39,62.0,190.0,4.32,4.7,0.79,2.7,5.0,16.78,16.0,9.73,4.0,31.0
Accompaniments,106.18,99.0,82.61,5.0,640.0,4.37,4.5,0.54,2.4,5.0,35.23,10.0,97.42,1.0,870.0
Accompaninents,39.67,35.0,27.3,15.0,69.0,4.27,4.2,0.4,3.9,4.7,39.67,16.0,41.86,15.0,88.0
Across The Continent Soups,195.0,195.0,,195.0,195.0,2.0,2.0,,2.0,2.0,3.0,3.0,,3.0,3.0
Add On ( Bhaji & Chutney ),18.33,15.0,10.41,10.0,30.0,4.3,4.3,0.0,4.3,4.3,514.67,639.0,376.24,92.0,813.0
Add Ons,50.71,45.0,30.47,19.0,110.0,4.43,4.55,0.49,3.0,5.0,28.93,6.0,56.86,3.0,209.0
Add ons,24.94,25.0,7.19,20.0,75.0,4.17,4.2,0.54,2.2,5.0,9.45,5.0,10.47,1.0,52.0
Add-ons,16.95,16.95,,16.95,16.95,5.0,5.0,,5.0,5.0,4.0,4.0,,4.0,4.0
Addons,111.83,82.0,70.69,49.0,219.0,4.2,4.3,0.28,3.8,4.5,35.5,16.0,46.89,3.0,124.0
Affordable Meal,160.0,160.0,,160.0,160.0,4.2,4.2,,4.2,4.2,571.0,571.0,,571.0,571.0
Affordable meal,149.0,149.0,0.0,149.0,149.0,4.8,4.8,0.14,4.7,4.9,5.0,5.0,2.83,3.0,7.0
Affordable/Bengali Meal,290.0,290.0,,290.0,290.0,3.3,3.3,,3.3,3.3,3.0,3.0,,3.0,3.0
Ahy Time Menu,142.27,125.0,48.34,84.0,245.0,4.45,4.5,0.23,4.1,4.8,176.93,144.0,191.07,7.0,739.0
Al Faham,361.58,250.0,180.61,185.0,670.0,4.37,4.4,0.41,3.5,5.0,22.26,13.0,26.82,3.0,102.0
"Al-Faham- Juicy,Creamy,Butter",232.0,232.0,,232.0,232.0,4.1,4.1,,4.1,4.1,4.0,4.0,,4.0,4.0
Ala Carte,197.36,238.0,83.01,71.0,275.0,4.46,4.55,0.52,3.6,5.0,4.64,5.0,2.31,1.0,9.0
Ala Carte Breakfast Menu,95.0,95.0,14.14,85.0,105.0,4.0,4.0,0.71,3.5,4.5,2.5,2.5,2.12,1.0,4.0
Alfaham,175.0,175.0,,175.0,175.0,4.3,4.3,,4.3,4.3,59.0,59.0,,59.0,59.0
Alfaham Mandi,310.0,310.0,14.14,300.0,320.0,3.95,3.95,0.21,3.8,4.1,8.0,8.0,5.66,4.0,12.0
Alfahm,256.5,249.0,61.85,189.0,339.0,4.45,4.55,0.24,4.1,4.6,166.75,106.0,186.99,23.0,432.0
Alfahm Mandi,300.4,289.0,79.32,190.0,409.0,4.6,4.5,0.31,4.2,5.0,31.8,29.0,26.62,6.0,74.0
Alfredo Pastas [White Sauce],317.75,299.0,53.03,249.0,399.0,4.42,4.5,0.42,3.9,5.0,3.12,3.0,1.81,1.0,6.0
Alishaan Biryani (Serves 4-5),1286.0,1305.0,38.0,1229.0,1305.0,3.65,3.65,0.52,3.2,4.1,1.25,1.0,0.5,1.0,2.0
All Day Bowls,325.0,325.0,0.0,325.0,325.0,4.83,5.0,0.29,4.5,5.0,3.33,3.0,0.58,3.0,4.0
All Day Breakfast,217.56,227.0,87.41,20.0,600.0,4.13,4.2,0.56,1.9,5.0,41.75,4.0,93.41,1.0,427.0
All Day Breakfast & Snacks,162.07,149.0,60.47,55.0,249.0,4.49,4.6,0.32,3.6,5.0,103.96,41.0,119.45,1.0,376.0
All Day Breakfast Box,212.69,209.0,39.64,139.0,279.0,4.38,4.4,0.46,2.5,5.0,39.87,8.0,75.66,1.0,502.0
All Day Breakfast Combos,319.0,325.0,14.7,289.0,325.0,3.95,3.8,0.53,3.5,5.0,4.33,1.5,7.2,1.0,19.0
All Day Breakfast Menu,199.0,199.0,0.0,199.0,199.0,4.7,4.7,0.0,4.7,4.7,1.0,1.0,0.0,1.0,1.0
All Day Favourites,326.14,359.0,197.38,59.0,499.0,4.03,4.4,0.89,2.4,4.8,7.86,6.0,5.05,3.0,15.0
All Day Food,164.0,164.0,7.07,159.0,169.0,3.85,3.85,0.35,3.6,4.1,3.5,3.5,0.71,3.0,4.0
All Day Lunch Special Meal Box,399.0,399.0,0.0,399.0,399.0,4.27,4.3,0.45,2.0,5.0,18.88,11.0,21.08,1.0,90.0
All Day Lunch Special Meal Box (save Rs 115),399.05,399.05,0.0,399.05,399.05,3.86,4.0,0.76,2.8,4.9,33.8,28.0,30.74,6.0,80.0
All Day Nashta,82.5,90.0,11.34,60.0,90.0,4.22,4.25,0.43,3.6,4.8,36.5,19.0,44.68,2.0,137.0
All Day Snacks,343.65,297.0,102.83,189.0,647.0,4.52,4.6,0.44,2.2,5.0,24.88,11.0,27.97,1.0,114.0
All Day Special,210.29,137.0,228.27,79.0,979.0,4.59,4.6,0.26,3.9,5.0,246.5,127.5,269.46,4.0,768.0
All Items,210.21,220.0,53.45,109.0,280.0,3.3,3.0,0.79,2.3,4.7,8.74,7.0,7.19,3.0,33.0
All The Way From China,250.0,260.0,29.15,210.0,280.0,4.58,4.5,0.28,4.3,5.0,14.6,15.0,4.72,8.0,19.0
All Time,101.43,105.0,11.8,80.0,110.0,4.6,4.6,0.21,4.2,4.8,454.71,577.0,312.03,8.0,757.0
All Time Breakfast,122.33,114.0,27.33,99.0,159.0,4.07,4.0,0.19,3.9,4.3,15.67,9.0,13.68,3.0,35.0
All Time Fav,169.0,169.0,,169.0,169.0,4.2,4.2,,4.2,4.2,5.0,5.0,,5.0,5.0
All Time Favorites,171.25,165.0,57.68,110.0,280.0,4.4,4.4,0.32,3.8,4.8,65.12,20.5,72.78,7.0,165.0
All Time Favourite,334.0,324.0,62.85,249.0,409.0,4.17,4.15,0.29,3.9,4.7,44.83,33.0,44.25,9.0,133.0
All Time Favourite Combinations,864.0,720.0,321.99,720.0,1440.0,4.78,4.8,0.13,4.6,4.9,27.2,31.0,19.19,1.0,48.0
All Time Snacks,296.0,295.0,2.0,295.0,299.0,4.72,4.65,0.19,4.6,5.0,11.5,9.0,11.33,2.0,26.0
All Time South Indiian,121.67,135.0,27.54,90.0,140.0,4.6,4.6,0.0,4.6,4.6,651.67,579.0,268.48,427.0,949.0
All day breakfast,228.78,249.0,44.24,119.0,269.0,4.1,4.2,0.67,1.9,5.0,25.91,10.0,39.54,1.0,192.0
All day snacks,70.0,70.0,,70.0,70.0,4.3,4.3,,4.3,4.3,5.0,5.0,,5.0,5.0
All-New Sundaes,217.0,209.0,33.47,169.0,249.0,4.24,4.1,0.4,3.9,4.8,6.0,6.0,1.0,5.0,7.0
All-New Waffles,162.53,169.0,23.7,109.0,189.0,4.24,4.3,0.5,3.3,5.0,10.24,5.0,14.19,1.0,60.0
All-in-1 Thali Meals,304.77,299.0,42.03,259.0,439.0,4.47,4.5,0.42,2.3,5.0,37.64,15.0,62.13,1.0,336.0
Allday Breakfasts,580.0,580.0,,580.0,580.0,4.6,4.6,,4.6,4.6,8.0,8.0,,8.0,8.0
Aloo Main Course,250.5,230.0,38.83,195.0,305.0,3.65,3.75,1.2,2.1,5.0,28.5,22.5,22.52,6.0,76.0
"Aloo Rolls [Big 9""]",174.0,169.0,11.68,169.0,199.0,4.55,4.5,0.26,4.3,5.0,3.67,2.0,3.39,1.0,12.0
Alu/ Baingan/ Bhindi Sabzi's,326.0,320.0,8.22,320.0,335.0,4.26,4.2,0.49,3.7,5.0,20.2,10.0,23.03,5.0,60.0
Amritsari King Comboâ€™s,324.84,286.85,101.77,239.11,545.22,4.23,4.2,0.57,3.3,5.0,19.33,6.0,34.1,3.0,109.0
Amritsari Kulcha,140.84,140.0,14.71,119.0,180.0,4.21,4.3,0.49,3.0,4.7,86.0,63.0,106.15,3.0,381.0
Amritsari Kulcha With Chole,164.33,165.0,5.03,159.0,169.0,4.2,4.3,0.26,3.9,4.4,159.67,197.0,64.66,85.0,197.0
Amritsari Kulcha With Chole And  Amul Butter,243.8,208.63,88.51,169.67,448.74,4.32,4.35,0.15,4.1,4.5,12.5,11.0,9.47,3.0,32.0
Amritsari Kulchas With Dal Makhani,412.89,412.89,30.45,391.36,434.42,4.9,4.9,0.14,4.8,5.0,7.0,7.0,4.24,4.0,10.0
Amritsari Kulche With Chole,149.0,149.0,,149.0,149.0,4.4,4.4,,4.4,4.4,28.0,28.0,,28.0,28.0
Andhra Biryani,369.0,389.0,51.48,289.0,419.0,4.26,4.6,0.73,3.0,4.8,75.2,14.0,122.97,4.0,291.0
Andhra Bowls,230.81,244.0,40.42,149.0,298.0,4.44,4.5,0.26,3.7,4.8,83.56,34.0,138.22,1.0,555.0
Angeethi Barbeque,120.0,120.0,0.0,120.0,120.0,2.77,2.8,0.75,2.0,3.5,5.0,4.0,2.65,3.0,8.0
Anjappar Super Combos,239.0,239.0,14.14,229.0,249.0,4.45,4.45,0.35,4.2,4.7,4.5,4.5,4.95,1.0,8.0
Anniversary & Birthday Cakes,579.0,579.0,60.0,519.0,639.0,4.37,4.4,0.06,4.3,4.4,19.0,5.0,26.0,3.0,49.0
Anniversary Special,484.0,564.0,177.48,219.0,589.0,4.53,4.75,0.56,3.7,4.9,7.5,7.0,4.2,3.0,13.0
Antera's Fusion,463.0,395.0,119.46,375.0,645.0,4.44,4.4,0.18,4.2,4.7,59.2,60.0,35.59,14.0,113.0
Any Time,100.0,100.0,0.0,100.0,100.0,4.55,4.55,0.21,4.4,4.7,147.5,147.5,188.8,14.0,281.0
Anytimers,153.54,155.0,41.77,19.05,210.0,4.65,4.7,0.15,4.3,5.0,290.25,237.5,248.49,3.0,859.0
Appam,140.0,140.0,,140.0,140.0,5.0,5.0,,5.0,5.0,4.0,4.0,,4.0,4.0
Appam & Idiyappam,100.0,100.0,,100.0,100.0,4.7,4.7,,4.7,4.7,602.0,602.0,,602.0,602.0
Appetizens,269.17,265.0,66.74,195.0,360.0,4.03,4.1,0.9,3.0,5.0,4.67,4.0,1.97,3.0,8.0
Appetizer,122.05,109.0,96.05,0.95,411.0,4.09,4.2,0.56,2.0,5.0,27.04,10.0,50.58,1.0,370.0
Appetizers,208.95,189.0,111.69,30.0,695.0,4.07,4.1,0.57,1.7,5.0,10.3,3.0,22.65,1.0,169.0
Appetizers -chicken,504.44,510.0,30.87,450.0,540.0,4.03,4.3,0.64,2.5,4.6,50.89,7.0,91.89,3.0,284.0
Appetizers Chicken,335.0,330.0,19.15,320.0,360.0,4.4,4.6,0.48,3.7,4.7,57.75,17.5,89.77,4.0,192.0
Appetizers Pork,340.0,340.0,,340.0,340.0,4.0,4.0,,4.0,4.0,7.0,7.0,,7.0,7.0
Appetizers Veg,173.33,200.0,46.19,120.0,200.0,4.87,5.0,0.23,4.6,5.0,12.33,6.0,12.74,4.0,27.0
Appetizers and Gravy Chinese,303.17,304.0,39.65,229.0,349.0,4.35,4.45,0.51,3.6,5.0,23.75,8.5,43.01,3.0,155.0
Appetizers-mutton And Fish,738.33,660.0,191.88,660.0,1130.0,4.25,4.45,0.82,2.7,4.9,14.83,7.5,16.07,3.0,46.0
Appetizers-vegetarian,480.0,460.0,110.5,430.0,930.0,4.26,4.4,0.58,2.9,5.0,18.84,14.0,15.35,2.0,59.0
Arabian,122.5,122.5,152.03,15.0,230.0,4.8,4.8,0.28,4.6,5.0,5.0,5.0,1.41,4.0,6.0
Arabian Foods,389.0,389.0,155.56,279.0,499.0,4.15,4.15,0.07,4.1,4.2,64.0,64.0,66.47,17.0,111.0
Arabian Grill & Shawarma,205.0,205.0,35.36,180.0,230.0,4.55,4.55,0.35,4.3,4.8,5.0,5.0,0.0,5.0,5.0
Arabian Special,494.17,442.5,286.59,75.0,910.0,4.23,4.35,0.31,3.8,4.6,50.0,43.0,39.98,16.0,123.0
Arabic,210.0,210.0,14.14,200.0,220.0,3.7,3.7,1.41,2.7,4.7,6.0,6.0,4.24,3.0,9.0
Arabic Dishes Shawarma,175.0,175.0,,175.0,175.0,4.1,4.1,,4.1,4.1,22.0,22.0,,22.0,22.0
Arabic Shawaya Mandi,207.5,207.5,67.18,160.0,255.0,4.05,4.05,0.35,3.8,4.3,38.5,38.5,31.82,16.0,61.0
Arrabiata Pastas [Red Sauce],299.0,299.0,0.0,299.0,299.0,3.9,3.9,0.2,3.7,4.1,3.0,2.0,2.65,1.0,6.0
Asian,493.0,499.0,87.35,389.0,609.0,4.22,4.1,0.54,3.5,4.9,9.0,9.0,4.95,3.0,16.0
Asian Bowls,300.75,299.0,47.41,247.0,587.7,4.01,4.1,0.47,2.5,5.0,30.57,14.0,52.81,1.0,362.0
Asian Curries- Served With Japanese Rice,721.67,745.0,87.37,625.0,795.0,4.43,4.5,0.5,3.9,4.9,13.67,15.0,7.09,6.0,20.0
Asian Fusion  Sundaes,257.0,257.0,0.0,257.0,257.0,4.55,4.4,0.3,4.4,5.0,2.0,2.0,0.82,1.0,3.0
Asian Kitchen,321.73,299.0,52.74,249.0,409.0,4.21,4.2,0.49,3.4,5.0,27.73,20.0,16.13,12.0,61.0
Asian Snacks,200.0,200.0,28.28,180.0,220.0,3.3,3.3,0.71,2.8,3.8,8.0,8.0,5.66,4.0,12.0
Asian Special,215.0,215.0,63.64,170.0,260.0,4.25,4.25,0.07,4.2,4.3,11.0,11.0,9.9,4.0,18.0
Assamese Thali,185.0,185.0,56.57,145.0,225.0,3.75,3.75,1.2,2.9,4.6,14.0,14.0,5.66,10.0,18.0
Assorted  sweets box,220.0,220.0,,220.0,220.0,4.7,4.7,,4.7,4.7,75.0,75.0,,75.0,75.0
Assorted Breads,52.0,52.0,,52.0,52.0,4.9,4.9,,4.9,4.9,7.0,7.0,,7.0,7.0
Assorted Sweets,285.71,244.76,81.49,204.76,370.48,4.7,4.8,0.35,3.9,5.0,69.67,70.0,52.65,1.0,170.0
Attitude Crispy Chicken,193.33,110.0,153.08,100.0,370.0,4.47,5.0,0.92,3.4,5.0,7.33,5.0,4.04,5.0,12.0
Au Gratin Dishes,671.0,622.0,164.45,540.0,900.0,4.43,4.4,0.21,4.2,4.7,68.5,72.5,33.73,31.0,98.0
Authentic Andhra Meals,631.5,644.0,259.82,289.0,969.0,4.53,4.45,0.31,4.2,5.0,323.75,317.0,281.63,27.0,741.0
Authentic North Indian Breakfast Meals,297.57,258.0,116.87,189.0,597.0,4.25,4.3,0.5,2.6,5.0,5.83,4.0,5.54,1.0,23.0
Authentic Recipes,148.0,148.0,,148.0,148.0,5.0,5.0,,5.0,5.0,3.0,3.0,,3.0,3.0
Authentic Turkish Baklava,1350.0,1350.0,,1350.0,1350.0,4.9,4.9,,4.9,4.9,11.0,11.0,,11.0,11.0
Available All Through The Day,110.0,105.5,17.57,94.0,131.0,4.42,4.45,0.1,4.3,4.5,219.5,195.0,128.36,78.0,375.0
Avarebele Mela Specials,70.0,70.0,28.28,50.0,90.0,4.05,4.05,0.92,3.4,4.7,3.0,3.0,0.0,3.0,3.0
Awadhi Rolls,164.0,169.0,17.32,139.0,179.0,4.35,4.3,0.1,4.3,4.5,41.75,41.5,35.33,2.0,82.0
Award Winning Thali [Make Your Own],320.67,319.0,23.17,289.0,359.0,3.98,4.1,0.41,3.2,4.3,267.5,117.5,373.61,4.0,971.0
B2G1 SPECIAL OFFER,186.51,204.02,48.76,109.0,249.0,4.32,4.4,0.48,2.7,5.0,2.19,2.0,1.73,1.0,9.0
B2g1 Special Offer,181.29,199.05,53.04,109.0,248.57,4.09,3.9,0.46,3.5,4.8,2.77,2.0,2.52,1.0,9.0
BAKERY,436.25,417.5,96.9,340.0,570.0,4.28,4.25,0.73,3.6,5.0,12.0,13.0,7.39,3.0,19.0
BAO,269.0,269.0,0.0,269.0,269.0,4.1,4.1,0.28,3.9,4.3,5.5,5.5,2.12,4.0,7.0
BENTO CAKE,475.0,475.0,0.0,475.0,475.0,4.5,4.5,0.14,4.4,4.6,5.5,5.5,2.12,4.0,7.0
BEVERAGES,66.53,66.66,8.86,28.58,71.43,4.33,4.4,0.56,1.6,5.0,5.02,3.0,5.76,1.0,33.0
BEVERAGES [0],126.67,130.0,25.17,100.0,150.0,4.13,4.0,0.81,3.4,5.0,7.33,3.0,7.51,3.0,16.0
BFF Meals,385.0,385.0,14.14,375.0,395.0,4.55,4.55,0.07,4.5,4.6,7.5,7.5,7.78,2.0,13.0
"BIG 10"" PIZZAS | NON-VEG [SERVES 2-3]",580.82,579.0,104.1,449.0,829.0,4.55,4.6,0.44,3.4,5.0,4.91,4.0,3.33,1.0,11.0
"BIG 10"" PIZZAS | VEG [SERVES 2-3]",498.33,469.0,137.24,299.0,799.0,4.49,4.5,0.35,3.6,4.9,4.53,2.0,4.07,1.0,15.0
BIG FAT WINGS,495.0,495.0,,495.0,495.0,4.2,4.2,,4.2,4.2,8.0,8.0,,8.0,8.0
BIRIYANI,195.67,199.0,5.77,189.0,199.0,3.13,2.7,0.93,2.5,4.2,15.0,6.0,18.25,3.0,36.0
BIRIYANI SPECIAL,337.5,337.5,13.69,325.0,350.0,4.13,4.2,0.25,3.7,4.4,31.0,34.0,26.71,1.0,75.0
BIRYANI,240.0,240.0,14.14,230.0,250.0,4.7,4.7,0.14,4.6,4.8,5.5,5.5,0.71,5.0,6.0
BIRYANI VARIETY,300.33,295.0,105.73,99.0,449.0,4.21,4.3,0.43,3.4,5.0,36.89,2.0,101.69,1.0,308.0
BONELESS CHICKEN POPCORN,359.18,249.0,320.06,125.0,1200.0,4.34,4.3,0.34,3.2,5.0,177.64,68.0,232.28,1.0,924.0
BOOM Cheese Burst,229.0,239.0,26.46,199.0,249.0,4.7,4.8,0.36,4.3,5.0,1.0,1.0,0.0,1.0,1.0
BOOM Classics,199.0,199.0,0.0,199.0,199.0,4.52,4.5,0.29,4.1,5.0,1.17,1.0,0.41,1.0,2.0
BOOM Double,259.0,259.0,0.0,259.0,259.0,4.37,4.4,0.45,3.9,4.8,1.67,2.0,0.58,1.0,2.0
BOOM Spicy,189.0,159.0,56.21,159.0,299.0,4.37,4.4,0.16,4.1,4.6,1.5,1.5,0.55,1.0,2.0
BREADS & PAROTTAS,103.6,70.0,79.39,49.0,259.0,4.31,4.3,0.53,3.0,4.9,16.7,4.0,31.23,1.0,102.0
BREAKFAST,69.71,57.5,41.6,22.0,160.0,4.47,4.5,0.3,3.8,4.9,75.29,14.5,151.77,2.0,548.0
"BREAKFAST, MAGGIE, PASTA & ALL DAY QUICK MEAL",149.55,145.0,13.5,135.0,165.0,4.01,4.0,0.43,3.0,4.6,4.55,1.0,6.71,1.0,21.0
BURGERS,298.77,250.4,98.63,150.0,614.88,4.28,4.3,0.46,1.9,5.0,59.6,14.0,127.14,1.0,987.0
Babka Pantry,483.33,450.0,57.74,450.0,550.0,5.0,5.0,0.0,5.0,5.0,3.67,4.0,0.58,3.0,4.0
Bachelor Biryani,127.57,119.0,10.69,119.0,139.0,4.51,4.6,0.22,4.2,4.8,2.57,3.0,1.62,1.0,5.0
Badabite,49.85,50.0,5.37,42.37,60.0,4.68,4.7,0.28,4.2,5.0,3.29,4.0,1.9,1.0,6.0
Bagara Pulav Meals,289.0,289.0,0.0,289.0,289.0,4.3,4.3,0.0,4.3,4.3,8.0,8.0,8.49,2.0,14.0
Baked,324.0,324.0,106.07,249.0,399.0,4.1,4.1,0.42,3.8,4.4,11.5,11.5,9.19,5.0,18.0
Baked Cheese Pastry,210.0,210.0,,210.0,210.0,4.3,4.3,,4.3,4.3,10.0,10.0,,10.0,10.0
Baked Cheese Rice Bowls (Powered by Firangi Bake),274.26,279.0,21.44,249.0,299.0,4.19,4.1,0.63,3.2,5.0,1.42,1.0,0.51,1.0,2.0
Baked Items,110.83,105.93,41.48,52.38,220.0,4.3,4.4,0.66,2.1,5.0,18.48,9.0,25.56,2.0,102.0
Baked Snacks,51.67,55.0,5.77,45.0,55.0,4.53,4.5,0.15,4.4,4.7,180.33,186.0,174.57,3.0,352.0
Baked Sweets,156.0,170.0,25.1,120.0,180.0,4.66,4.7,0.11,4.5,4.8,98.8,54.0,112.03,11.0,277.0
Baked by Nini's,325.0,345.0,40.47,275.0,370.0,4.62,4.6,0.29,4.2,4.9,9.6,7.0,9.56,1.0,24.0
Baked hot potatoes,423.33,425.0,27.54,395.0,450.0,4.2,4.2,0.6,3.6,4.8,1.67,1.0,1.15,1.0,3.0
